[HEADER]
START_TIME: 237687177 usec
ELAPSED_TIME: 114568159 usec
RELAY_STATE: 0
ACCELERATION_DATA: PERIOD SAMPLE NUMBER INDEX
1600 HZ 183264 X,Y,Z
[END OF HEADER]

546,731,15923
295,1749,13997
485,1113,15574
-441,-304,14983
-118,1125,15309
256,1220,16154
-201,573,16774
-162,-507,18503
-123,-878,18757
-146,-585,17089
251,376,16008
334,1170,15709
-173,945,15309
-235,331,15670
0,-372,17270
407,-810,18526
-45,-332,17292
-84,151,16233
284,455,16205
245,601,16368
133,343,16442
-67,67,16661
278,-304,17472
474,-501,17208
217,-17,16898
-45,348,16256
72,180,16188
301,28,16701
-6,168,16915
-257,281,16611
-185,337,16509
167,191,16757
-162,444,16937
-413,528,16368
-240,371,16712
-134,196,17208
-424,517,16780
-687,883,16430
-436,894,16898
-553,731,16971
-765,956,16684
-860,1153,16543
-910,1040,16374
-871,1113,16611
-899,1265,16611
-1044,1451,16492
-1116,1192,16335
-938,928,16808
-876,1046,17084
-1049,1198,16926
-1133,1338,16583
-1027,1085,16346
-754,1136,16611
-993,1451,16481
-1138,1350,16515
-938,928,16870
-714,922,16915
-826,1130,16774
-1010,1231,16599
-993,849,16380
-681,1125,16616
-966,1018,16115
-687,871,16588
-291,528,17185
-642,573,17039
-503,556,16487
-285,489,16599
-84,292,17095
-157,388,17050
-458,523,16385
39,309,16695
55,343,16611
11,534,16729
-397,455,16402
-408,348,16245
217,28,17168
178,112,17264
-302,112,16723
-268,163,16261
273,163,16526
262,50,16999
-229,253,16661
-90,67,15856
256,-152,16644
323,-276,17253
16,106,16915
267,-254,16678
22,146,16414
-95,264,16199
66,461,16402
-257,624,15867
-291,601,15754
133,320,16216
-79,371,16154
468,-405,18531
513,-1260,18712
278,-1367,16971
167,-231,15309
775,405,15664
1193,11,17365
1048,-1260,17585
580,-1665,16560
568,-1142,16673
1115,-394,17180
1271,-990,17005
747,-1013,16171
1043,-377,16661
1093,-743,17101
836,-1210,16768
674,-799,16605
747,-338,16543
708,-467,16453
708,-777,16385
641,-276,16414
892,-315,16656
758,-760,16971
792,-1125,16723
758,-771,16588
635,-355,16509
725,-270,16329
647,-794,16430
630,-434,16374
697,-276,16729
669,-664,16661
914,-929,16791
769,-726,16977
518,-259,16391
624,-405,16408
680,-850,16887
719,-878,16977
580,-450,16695
591,-113,16492
362,-254,16284
663,-737,16853
468,-417,16628
507,-529,16628
462,-299,16802
518,-405,16521
574,-389,16684
624,-225,16802
267,-209,16836
379,-315,16566
167,-79,16442
440,-209,16723
150,28,16385
223,0,16532
334,-175,16628
189,11,16577
245,-40,16915
278,-135,16774
150,-45,16904
111,241,16628
27,236,16363
33,213,16295
133,101,16425
211,-107,16650
317,-158,16842
278,-175,16577
167,-85,16459
16,73,16284
55,320,16723
-12,258,16414
133,174,16391
66,180,16706
111,-17,16673
245,-141,16735
72,-147,16774
340,-130,16909
357,-152,16735
323,-135,16892
83,84,16757
66,196,16397
317,-248,16543
323,-299,16768
117,185,16605
22,180,16425
262,-209,16780
323,-164,17089
-56,135,16611
-190,270,16211
200,50,16571
-112,208,16605
-129,180,16532
-218,371,16436
89,208,16599
133,50,16960
-112,382,16611
-246,444,16605
-118,208,16729
5,208,17056
-79,78,16960
-168,354,16644
-274,264,16402
-95,270,16661
0,517,16808
-212,658,16701
-480,506,16571
-235,388,16994
-51,388,17061
-257,579,16881
-430,691,16605
-224,376,16571
-279,354,16723
-452,765,16318
-413,961,16459
-620,641,16306
-357,376,16712
-335,658,16875
-564,821,16622
-469,365,16481
-397,613,16526
-330,765,17044
-519,686,16329
-413,601,16706
-185,540,16661
-430,540,17101
-547,478,16836
-491,613,16425
-330,590,16729
-391,444,16797
-268,478,16706
-519,652,16318
-101,433,16526
-67,84,16706
5,-23,16830
-162,326,16926
-296,354,16802
-90,106,16932
44,163,17078
-168,427,16459
-67,568,16414
55,163,16802
117,-90,17005
-28,303,17191
-324,202,16656
-162,95,16774
72,196,17033
-352,556,16847
-575,590,16498
-268,348,16842
-84,174,17247
-397,545,16954
-553,433,16628
-168,241,17129
-140,208,17456
-235,382,17033
-497,376,16757
-157,168,17191
-79,129,17225
-118,427,16864
-146,253,16915
122,-389,16904
167,-417,16813
273,135,16932
66,236,16768
329,-360,16577
423,-405,16915
290,-113,16430
167,135,16549
502,-405,16611
546,-484,16842
345,-394,16284
357,22,16216
613,-237,16368
691,-372,16402
485,-141,16318
474,-90,15901
568,-355,15940
686,-389,16042
825,-197,16076
535,-107,15771
507,-164,15501
753,-175,15490
792,-57,15721
596,-29,15642
423,16,15422
608,-57,15383
563,73,15664
83,365,15512
189,399,15642
245,157,15969
407,61,16216
94,118,16323
27,461,16002
-101,523,16053
55,365,16475
39,219,16842
-196,506,16414
1628,-3910,26907
-480,-2273,22210
-1122,-1592,15743
345,1490,13794
167,2925,14256
513,2126,15411
-1094,16,15822
-882,-158,15794
-190,444,16160
206,1395,15856
-413,1181,15969
-424,641,17135
-597,-147,18379
-564,-355,18227
-648,326,16904
-698,1130,15732
-185,1558,15794
-179,1125,16521
-17,472,17658
-675,-569,17219
-726,-411,16149
-229,1113,17067
172,1175,17658
-586,376,16915
-765,-135,16143
-374,427,16616
145,1006,17247
-196,691,16690
-620,50,16126
-173,101,17050
27,123,17033
-408,433,16549
-296,691,16509
-28,382,17112
-207,28,17044
-385,303,16853
-419,770,16937
-302,393,17315
-257,118,17230
-224,219,17534
-318,196,17489
-519,67,17123
-447,56,17242
-23,337,17405
-162,511,17433
-720,399,16673
-436,388,17112
-106,371,17540
-575,500,17050
-569,646,16509
-447,596,16943
-257,382,17174
-263,309,16656
-503,928,16419
-313,562,16853
-463,360,16892
-224,270,17089
-709,888,16335
-514,804,16397
-212,725,16988
61,438,17968
502,-529,18385
1160,-2492,19145
881,-2847,18165
55,-1328,16329
100,1203,14729
490,2154,14515
831,973,15997
306,-884,17056
223,-1649,16988
89,-1007,15935
518,455,15462
937,995,15952
474,511,16092
-67,-439,16059
156,-765,15974
446,95,16126
396,703,15884
245,646,15895
267,-90,16194
412,-484,15873
161,146,15923
178,596,15800
217,360,15918
290,180,15912
-73,354,15574
27,478,15828
-90,466,15743
262,281,15997
462,112,16633
457,39,16504
5,-344,15946
178,-141,15918
602,219,16639
78,281,16154
-40,343,15732
223,-96,16070
585,95,16605
189,16,16385
-34,253,15687
161,405,16385
223,157,16554
-157,-62,16340
-129,303,16323
0,708,16222
-179,500,16245
11,264,16442
-56,360,16515
-274,585,16385
-380,596,16087
16,343,16267
5,466,16684
-357,748,16318
-402,500,16149
-257,320,16295
574,-1795,20869
2264,-4405,29211
658,-1964,24716
-2455,-2290,13603
-893,1147,10837
1031,3886,14431
2169,2165,18323
-776,-2020,15980
-1596,-1727,13980
753,517,18627
1561,669,20627
-190,-1418,16988
-698,-1080,14707
446,1271,15794
920,1293,15969
105,-237,15907
435,-1035,17196
680,-1080,18182
552,-979,17208
446,-276,16076
892,-96,16109
474,146,16250
390,-349,16904
278,-777,17180
418,-664,16746
613,180,16515
284,185,15923
301,-130,16036
563,-282,17151
